Intensity_db,DB dIM,dRetention
7672277.5,-0.0282,41.331
7468981.5,-0.0216,38.9978
7324021.5,-0.0127,36.8552
7303470.5,-0.0314,42.6704
7150533,-0.0298,61.1568
6703319.5,-0.0074,62.4973
6299635.5,-0.0266,37.8023
5799967.5,-0.0124,38.8204
5343659.5,-0.0033,57.4795
4602511.5,-0.0497,41.5045
4001349.8,0.031,57.8325
3894362.2,0.0124,42.3186
3826862,-0.0544,34.5238
3699682.8,0.0124,34.5238
3696149.8,0.0087,37.654
3676747,-0.048,38.9671
3625945.8,0.0286,56.4622
3540139,-0.0526,39.1708
3506981,0.0106,36.6353
3414738,0.0105,38.0063
3373650.2,-0.0477,36.6653
3286838,-0.0592,36.6653
3248923,0.0109,35.4993
3156990.2,-0.0465,36.6353
3069921.8,-0.0246,49.5605
3060074,0.3174,39.1891
2916071.8,0.3135,57.8325
2908152.5,0.009,71.8279
2789726.8,0.313,40.3386
2775063.5,0.3154,38.9978
2759085,0.0102,64.6264
2703012,0.3048,37.8321
2703012,0.3109,37.8321
2562337.5,0.3123,68.3281
2310564.5,0.3113,35.4993
2268061.8,0.0265,61.2238
2264846,-0.041,69.4949
2261280,0.3134,38.0063
2254325.8,0.3122,65.8207
2197034.8,0.0101,51.8909
2166020.2,0.3125,37.8023
2146766.5,0.3145,37.8023
2079989.6,0.3137,51.6495
2019424.6,0.2683,42.6865
2001109.4,0.312,38.8204
1820126.9,-0.0706,46.0609
1816842.1,0.3119,35.4696
1694849,0.3118,68.3459
1690440,0.3116,65.7923
1569843,0.3092,35.3222
1562630.4,-0.0317,52.2684
1525805.4,-0.0489,44.8938
1513803.6,-0.0205,54.0033
1464119.6,-0.0721,70.5528
1444394.6,-0.042,67.9758
1166828.9,0.0221,62.1666
1078709.4,0.0057,76.0931
1049692,0.0051,76.3852
998102.5,-0.0305,50.5048
941158.5,0.3075,49.5605
902870.2,0.3047,48.102
868912.8,-0.0393,68.1246
800907.3,0.31,44.8938
693158.6,0.3075,42.2708
674183.06,-0.0559,48.1734
657575.06,-0.0765,70.3313
650664.9,-0.0007,47.0057
617281.1,-0.0482,72.5951
587125.1,-0.0471,60.6177
516113.4,0.0162,62.3396
425311.75,-0.0042,53.619
411482.97,-0.082,57.1184
400885.9,0.3093,52.8376
388450.34,-0.0592,55.342
378369.12,0.302,52.2684
376158.6,-0.0422,53.0097
367351.03,0.3068,74.9277
347328.25,-0.0029,50.6769
337519.22,0.3065,48.1734
332483.2,-0.0025,49.5115
313195.25,-0.0628,51.2874
312186.06,-0.0575,50.6769
214974.48,-0.0006,57.732
186534.67,-0.0633,61.2307
177539.92,-0.0626,60.9045
162819.6,0.3,55.9531
161533.36,0.3068,56.5084
152948.55,-0.0786,69.3933
142849.78,-0.0594,55.0726
99680.21,-0.0003,68.1237
71443.36,-0.0041,55.2944
62077.418,-0.0593,57.6279
40423.65,0.012,89.339
33208.4,-0.0605,191.9501
30224.494,0.0104,141.3153
26140.932,0.0068,144.1324
17917.809,0.3101,89.339
16521.258,0.3045,62.9109
16074.589,0.3106,90.5049
12775.642,0.3058,64.4971
6457738.5,0.0585,129.2499
5126152.5,0.0519,127.2064
4197138.5,0.0466,129.8556
3865569,0.0783,125.1904
2401418.2,0.0603,137.135
2058723.4,0.0742,133.637
2047614.6,0.0742,136.4837
1871413.4,0.0248,157.092
