Library Decoy Hyperscore,One genome Decoy
9.688,14.598
9.912,14.964
10.053,17.359
9.858,12.922
11.656,13.658
8.584,13.69
9.519,16.324
10.233,15.801
8.583,14.511
8.697,17.521
10.309,12.706
13.39,12.893
8.246,18.376
9.339,14.654
11.025,14.541
10.821,15.579
10.187,17.123
10.956,15.669
8.255,13.604
8.855,14.986
11.471,16.746
8.547,11.423
10.823,18.161
11.543,18.291
11.395,19.301
9.889,18.237
9.038,16.166
8.093,13.061
13.292,17.419
10.324,13.727
9.217,17.372
9.748,13.552
10.407,12.899
8.928,17.465
10.85,17.838
9.259,17.389
11.037,15.936
13.658,14.596
9.433,14.168
10.612,14.662
7.84,16.857
10.662,15.315
10.17,14.007
8.41,15.587
12.493,15.555
9.51,15.327
8.243,14.911
9.932,17.517
9.326,15.371
11.768,17.17
8.249,14.509
12.049,16.8
10.953,17.414
7.312,17.797
9.996,13.608
11.165,13.23
9.186,13.182
8.507,16.694
8.131,12.348
8.766,16.698
10.577,14.107
9.425,19.231
8.814,14.433
10.576,16.64
8.022,17.216
12.325,16.461
10.951,15.148
10.471,15.003
8.212,15.425
9.323,13.355
10.722,14.783
10.536,12.731
11.185,14.047
10.528,15.013
9.044,13.04
9.537,14.052
11.869,15.064
10.447,15.101
11.636,14.59
8.006,13.042
9.654,14.419
7.849,18.354
8.431,15.162
9.507,16.42
8.101,11.364
9.331,18.56
9.578,15.727
9.741,17.643
9.193,18.838
11.655,18.275
9.688,15.099
10.514,17.363
9.122,13.867
10.219,13.005
8.221,16.62
8.5,12.531
