Ecoli time (s),Ecoli Intensity,S. typhimurium time (s),S. typhimurium Intensity
174.978,0,328.629,0
175.103,0,329.794,0
175.232,118,330.961,0
175.36,0,332.127,205
175.488,0,333.293,93
175.614,0,334.46,0
175.742,251,335.626,0
175.87,0,336.792,49
175.996,0,337.958,104
176.123,134,339.124,461
176.252,0,340.291,0
176.383,0,341.456,11
176.511,82,342.623,150
176.639,0,343.789,0
177.09,151,344.956,0
177.621,0,346.122,0
177.75,0,347.288,0
177.873,85,348.454,159
178.001,0,349.621,0
178.134,263,350.787,0
178.261,30,351.954,119
178.392,152,353.119,0
178.519,0,354.285,114
178.637,0,355.451,0
178.768,52,356.618,0
178.899,37,357.784,67
179.029,0,358.95,114
179.157,0,360.116,76
179.283,70,361.282,87
179.409,107,362.45,144
179.535,41,363.617,0
179.663,34,364.783,69
179.791,37,365.949,0
179.919,407,367.114,0
180.043,264,368.281,63
180.177,128,369.447,121
180.308,0,370.614,334
180.435,147,371.781,83
180.563,163,372.946,0
180.687,0,374.114,105
180.815,197,375.28,0
180.944,119,376.446,0
181.072,0,377.612,214
181.198,234,378.778,116
181.327,50,379.944,0
181.456,61,381.111,83
181.583,72,382.277,0
181.928,245,383.442,65
182.458,242,384.609,102
182.586,284,385.775,0
182.715,0,386.941,77
182.846,112,388.108,0
182.97,215,389.274,84
183.094,80,390.44,95
183.226,88,391.606,205
183.357,21,392.773,0
183.487,0,393.938,180
183.613,0,395.105,0
183.742,0,396.271,51
183.868,43,397.437,73
183.992,0,398.604,215
184.123,145,399.769,127
184.249,205,400.937,0
184.377,0,402.103,0
184.508,177,403.27,0
184.639,0,404.436,23
184.768,0,405.602,368
184.892,73,406.767,154
185.019,0,407.934,0
185.15,0,409.1,90
185.282,193,410.267,74
185.411,0,411.433,0
